review,sentiment
"The movie had a lot of potential, unfortunately, it came apart because of a weak/implausible story line, miscasting, and general lack of content/substance. One of the very obvious flaws was that Sean Connery, who played an Arab man, didn't know how to pronounce his own Arab name! This may seem a small flaw but it points to the seeming lack of effort in paying attention to details. The quality of acting was uniformly well below average. <br /><br />Movie's solitary saving grace was the twist in the plot at the very end; and a french song (I don't recall the title). Overall, it was a pretty bad movie where Sean Connery was visibly miscast.",negative
"Mexican 'classic' was the third entry in the Aztec Mummy series. As you will soon find out, this movie is anything but a classic, instead, it's more like a movie that deliberately tries to bore you.<br /><br />Some scientist wants to steal Aztec treasure from a tomb, but guarding that tomb is that walking toilet paper commercial: The Aztec Mummy. Knowing he can't beat the Mummy, he then builds a robot, and a very bad one at that. We only get to see Mr.Robot in the last reel, as he clunks around, and does battle with the Aztec Mummy.<br /><br />I have seen a lot of lousy Sci-Fi films, hell most Sci-Fi films I see are lousy, but this one, for it's entire duration of 64 Minuites, is the worst movie I've seen, with Fubar coming in a close second....<br /><br />In conclusion: Don't waste your time.",negative
"I expected a comedy like the ""Big Mama"" movies. Instead, the movie was a bizarre mix of comedy, drama and a love story.<br /><br />This movie has three plots: The first involves Madea and her taking in a foster child. The second involves a woman who is engaged to a rich man who is abusing her. The third involves a relationship between a single mother with 2 children and a single father.<br /><br />There is actually very little comedy in the movie. There are also a number of very twisted messages in the movie. For example, Madea beats the foster child with a belt (in a comedic manner), to convince the child to straighten out. The child does, in fact, turn herself around. Apparently, it pays to beat children.<br /><br />There are plots dealing with child rape (with the consent of the mother). There are scenes with old men ogling young girls who are related to them. (The ogling takes place at a family reunion.) The movie jumps from plot to plot such that you are always off-balance. Is this a comedy, a love story, or a drama? It is, in fact, nothing ... except a waste of time and money.",negative
"This film is absolute trash and proceeds to become even worse towards the, very protracted, end! <br /><br />The plot is confused and laboured, the actors have a couldn't care less attitude (maybe they were paid in advance - bad move, or knew they weren't going to get paid), and the sets were featureless, boring and cheap.<br /><br />I fell asleep twice and actually decided to not bother with the last 5 minutes as I assumed the actors would have fallen asleep themselves by then. More unrecoverable life time wasted!<br /><br />If you must watch it, then take it to the bedroom and forget the sleeping pills for once. But maybe you'll need an antidepressant instead!<br /><br />Sometimes it's good if celluloid degrades.",negative
"I MAY have seen an episode or 2 when the show originally aired but when I watched 1 episode on netflix I was also hooked. I watched the whole series in like 2 days. :) I really liked Gary Cole's character. First he's thoroughly reprehensible then you start liking the character (""These things have a thousand uses"")! His folksy Andy Griffith meets Charles Manson meets Satan is great. Charming, charismatic, smarmy, and uh kind of dangerous and by ""kind of"" I mean ""really"". I wanna be like HIM when I grow up. Lucas Black is great too. The accents are great too. Anyway, I thought this was one of the best TV shows ever and you owe it to yourself to see it.",positive
"Teresa Pavlinek was a popular member of the Toronto Second City cast. She has done numerous guest spots and commercials up here in Canada. Finally someone has the sense to create a show for her. The supporting case seems quite good too. I have now watched the pilot several times and I still find it refreshing. Though, I am not sure why the show is listed as The Jane Show 2004. (I might be wrong) But as far as I am aware, the show was conceptualized in 2005 and appeared on Global TV in Canada in early 2006. It is a fresh idea and hopefully it does well. Too bad this couldn't be paired up with Corner Gas. Now I know Corner gas is on CTV, but the two shows would be great companion pieces.",positive
"Scott's collection of 80's icons cannot save this teen disaster. But then I suppose that's why it was only a TV movie and not a major motion picture. William A. Schwartz (writer) comes up with something closer to ""Stewardess School"", except this movie is more boring. This movie isn't really stupid, just boring and completely plotless. The only reason to see this might be to see Tina Yothers in an actual role after Family Ties. After this movie and equally dumb ""Class Cruise"", I guess Mr. Scott wised up and went back to directing sit-coms, which was his best move yet. 4 out of 10",negative
I rented this movie because I love Kristanna Loken and I've watched her on many TV shows and since she's having her 15 minutes of fame nowadays with her new T3 movie I wanted to check out what other movies she has been in.<br /><br />She's just OK in terms of acting. Not good and not bad either. She makes up for everything by being extremely gorgeous. YUMMMMM<br /><br />Rodney Rowland was quite a surprise as the hero. He provided the only solid good acting in the movie. He's a very good actor and should probably be an action star.<br /><br />Besides Kristanna being OK and Rodney being really good everything else about this movie is garbage in its purest form.<br /><br />A computer hacker hacks into the system of a plane from the ground and using a joystick he tries to slam the plane into a nuclear power plant ..... or something. And of course there are the heroes who stand in his way and ruin his game.<br /><br />This is one of the worst scripts I have ever seen and no wonder it was a low budget flick.<br /><br />What's shocking is that this movie was made in 2001 and it has way too many similarities to the September 11th tragedies.<br /><br />Why do they make movies like this in the first place?<br /><br />Panic * - one star (a waste of too good actors) (also a waste of time) (also known as Air Panic),negative
"My husband and I are the parents of an autistic little boy who lives in the same township as the screenwriter of this movie. We were very upset that the JCC is bringing this movie to its Jewish film festival because of the way that the mentally disabled character Frankie is portrayed. We went to see this movie at the local theater when it came out. We demanded out money back. We would encourage the screenwriter to donate a portion of the funds to the JCC's Achad program to apologize.<br /><br />We did not like seeing Frankie - a mentally disabled and perhaps even autistic teenager - as part of a joke in which he keeps dropping something to look at the nanny's breasts.<br /><br />There was no point to Frankie's character other than to say ""hey, being mentally disabled is funny."" Challenges like Frankie's are a serious matter. Families like mine are truly suffering.<br /><br />The screenwriter needs to explain herself. Does she know families with disabled kids? Does she see the families with disabled kids week after week at the JCC pool?",negative
"Carlos Mencia was excellent this is hour special. He was working hard to show everybody he was the real deal. I know people have said he's stolen material in this special, but that is not true. Carlos brings comedy up front the way he wants it, not how anyone else wants it, that is why he is so good. People say he's not funny because he says Dee dee dee too much, and they still haven't realized thats part of his act, and they don't want it that way, but he brings it like that anyway, and succeeds in making people laugh. For all the haters out there, here is a message, Carlos is here to stay, you have no point in trying to bring him down.",positive
